Name: Ridout Road, Instruction: Head east on Ridout Road, Distance: 515.9 meters, Time: 371.5 seconds
Name: Peirce Road, Instruction: Turn left onto Peirce Road, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 182.1 meters, Time: 131.1 seconds
Name: Dempsey Road, Instruction: Turn slight left onto Dempsey Road, Distance: 96.3 meters, Time: 69.3 seconds
Name: Dempsey Road, Instruction: Continue straight onto Dempsey Road, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 64.8 meters, Time: 46.6 seconds
Name: Harding Road, Instruction: Turn slight left onto Harding Road, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Arrive at Harding Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
