Name: Atlee Street, Instruction: Head southeast on Atlee Street, Distance: 139.5 meters, Time: 100.4 seconds
Name: -, Instruction: Turn left, Distance: 208.1 meters, Time: 149.8 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Keep left, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.9 seconds
Name: Harvey Street, Instruction: Turn right onto Harvey Street, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Arrive at Harvey Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
