Name: New Upper Changi Road, Instruction: Head east on New Upper Changi Road, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 264.7 meters, Time: 190.6 seconds
Name: -, Instruction: Turn left, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 232.8 meters, Time: 167.6 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 537.2 meters, Time: 386.8 seconds
Name: -, Instruction: Turn left, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn right, Distance: 210.6 meters, Time: 151.6 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Keep right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Continue straight, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 322.3 meters, Time: 232.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
