Name: Arcadian Gardens, Instruction: Head east on Arcadian Gardens, Distance: 126.6 meters, Time: 91.2 seconds
Name: Glendale Avenue, Instruction: Turn right onto Glendale Avenue, Distance: 206.4 meters, Time: 148.6 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Keep left, Distance: 254.6 meters, Time: 183.3 seconds
Name: -, Instruction: Keep left, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Keep right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Newnham Green, Instruction: Continue straight onto Newnham Green, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 249.9 meters, Time: 179.9 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
