Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 214.4 meters, Time: 154.3 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 338.9 meters, Time: 244.0 seconds
Name: -, Instruction: Continue straight, Distance: 59.5 meters, Time: 42.9 seconds
Name: Bedok South Road, Instruction: Turn right onto Bedok South Road, Distance: 129.3 meters, Time: 93.1 seconds
Name: Bedok South Avenue 2, Instruction: Turn left onto Bedok South Avenue 2, Distance: 468.8 meters, Time: 337.5 seconds
Name: -, Instruction: Turn left, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Keep left, Distance: 90.9 meters, Time: 65.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
