Name: Elliot Street, Instruction: Head east on Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 254.9 meters, Time: 183.5 seconds
Name: Cathcart Street, Instruction: Turn left onto Cathcart Street, Distance: 12.3 meters, Time: 8.8 seconds
Name: Jan van Riebeeck Avenue, Instruction: Turn right onto Jan van Riebeeck Avenue, Distance: 21.4 meters, Time: 15.4 seconds
Name: Jan van Riebeeck Avenue, Instruction: Keep left onto Jan van Riebeeck Avenue, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 852.7 meters, Time: 613.9 seconds
Name: -, Instruction: Turn slight right, Distance: 125.1 meters, Time: 90.0 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Mountain View Road, Instruction: Turn right onto Mountain View Road, Distance: 377.4 meters, Time: 271.7 seconds
Name: Grand Vue Avenue, Instruction: Turn left onto Grand Vue Avenue, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn left, Distance: 54.1 meters, Time: 38.9 seconds
Name: Aurora Street, Instruction: Turn right onto Aurora Street, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at Aurora Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
