Name: Villa Gagliardini, Instruction: Head east on Villa Gagliardini, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 231.1 meters, Time: 166.4 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Keep left, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Keep right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 136.6 meters, Time: 98.3 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn slight left, Distance: 482.8 meters, Time: 347.6 seconds
Name: -, Instruction: Turn slight left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 534.2 meters, Time: 384.6 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
