Name: Rue de Cicé, Instruction: Head southeast on Rue de Cicé, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: Rue Stanislas, Instruction: Turn right onto Rue Stanislas, Distance: 41.9 meters, Time: 30.1 seconds
Name: Rue Péguy, Instruction: Turn left onto Rue Péguy, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 288.6 meters, Time: 207.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 453.1 meters, Time: 326.2 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn slight left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Keep right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
