Name: Fairbank Village Lane, Instruction: Head east on Fairbank Village Lane, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 418.1 meters, Time: 301.1 seconds
Name: -, Instruction: Turn slight right, Distance: 333.9 meters, Time: 240.4 seconds
Name: -, Instruction: Keep left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Keep left, Distance: 490.8 meters, Time: 353.4 seconds
Name: Winona Drive, Instruction: Keep right onto Winona Drive, Distance: 12.9 meters, Time: 9.3 seconds
Name: Winona Drive, Instruction: Continue straight onto Winona Drive, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
