Name: Beech Hall Road, Instruction: Head north on Beech Hall Road, Distance: 394.2 meters, Time: 283.8 seconds
Name: -, Instruction: Turn left, Distance: 100.8 meters, Time: 72.6 seconds
Name: Winchester Road, Instruction: Turn right onto Winchester Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: Winchester Road, Instruction: Continue straight onto Winchester Road, Distance: 270.3 meters, Time: 194.6 seconds
Name: Selwyn Avenue, Instruction: Turn left onto Selwyn Avenue, Distance: 151.8 meters, Time: 109.3 seconds
Name: Aldriche Way, Instruction: Turn right onto Aldriche Way, Distance: 194.6 meters, Time: 140.1 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 60.8 meters, Time: 43.7 seconds
Name: Lena Kennedy Close, Instruction: Turn slight left onto Lena Kennedy Close, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Arrive at Lena Kennedy Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
