Name: Avenue de Champaubert, Instruction: Head northeast on Avenue de Champaubert, Distance: 140.9 meters, Time: 101.5 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: Avenue Pierre Loti, Instruction: Turn left onto Avenue Pierre Loti, Distance: 45.1 meters, Time: 32.5 seconds
Name: Avenue Charles-Risler, Instruction: Turn right onto Avenue Charles-Risler, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Keep left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Keep right, Distance: 102.9 meters, Time: 74.1 seconds
Name: Avenue du Général Margueritte, Instruction: Turn right onto Avenue du Général Margueritte, Distance: 161.9 meters, Time: 116.6 seconds
Name: Place du Général Gouraud, Instruction: Turn slight right onto Place du Général Gouraud, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 134.3 meters, Time: 96.7 seconds
Name: -, Instruction: Turn slight left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 138.4 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 246.8 meters, Time: 177.7 seconds
Name: -, Instruction: Keep right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Keep left, Distance: 169.4 meters, Time: 122.0 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn left, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Keep left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: Avenue Montaigne, Instruction: Turn right onto Avenue Montaigne, Distance: 365.1 meters, Time: 262.9 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
