Name: Waldpromenade, Instruction: Head northeast on Waldpromenade, Distance: 449.7 meters, Time: 323.8 seconds
Name: Hubertusstraße, Instruction: Turn left onto Hubertusstraße, Distance: 173.5 meters, Time: 124.9 seconds
Name: Nimrodstraße, Instruction: Keep right onto Nimrodstraße, Distance: 295.4 meters, Time: 212.7 seconds
Name: -, Instruction: Turn right, Distance: 88.9 meters, Time: 64.0 seconds
Name: Hangstraße, Instruction: Turn right onto Hangstraße, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 307.4 meters, Time: 221.3 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
