Name: Place du Général Catroux, Instruction: Head east on Place du Général Catroux, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Keep left, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight left, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 43.8 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Legendre, Instruction: Turn left onto Rue Legendre, Distance: 528.1 meters, Time: 380.2 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 95.9 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 167.2 meters, Time: 120.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
