Name: Rua Iborá, Instruction: Head north on Rua Iborá, Distance: 152.2 meters, Time: 109.6 seconds
Name: Avenida Embaixador Pimentel Brandão, Instruction: Turn left onto Avenida Embaixador Pimentel Brandão, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: Avenida Embaixador Pimentel Brandão, Instruction: Turn left onto Avenida Embaixador Pimentel Brandão, Distance: 84.3 meters, Time: 60.7 seconds
Name: Rua Manuel Borba, Instruction: Enter the roundabout and take the 1st exit onto Rua Manuel Borba, Distance: 463.4 meters, Time: 333.7 seconds
Name: Praça Damasco, Instruction: Turn right onto Praça Damasco, Distance: 74.5 meters, Time: 53.7 seconds
Name: Rua Eugênio Paiva, Instruction: Turn slight right onto Rua Eugênio Paiva, Distance: 267.7 meters, Time: 192.8 seconds
Name: Rua Albino Paiva, Instruction: Turn left onto Rua Albino Paiva, Distance: 282.7 meters, Time: 203.5 seconds
Name: -, Instruction: Turn right, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn left, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn slight right, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn slight right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
