Name: Trostberger Straße, Instruction: Head south on Trostberger Straße, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 188.6 meters, Time: 135.8 seconds
Name: Melusinenstraße, Instruction: Turn right onto Melusinenstraße, Distance: 4.0 meters, Time: 2.9 seconds
Name: Anzinger Straße, Instruction: Turn left onto Anzinger Straße, Distance: 36.0 meters, Time: 25.9 seconds
Name: Melusinenstraße, Instruction: Turn left onto Melusinenstraße, Distance: 302.7 meters, Time: 218.0 seconds
Name: Bad-Schachener-Straße, Instruction: Continue straight onto Bad-Schachener-Straße, Distance: 235.1 meters, Time: 169.2 seconds
Name: Innsbrucker Ring, Instruction: Turn left onto Innsbrucker Ring, Distance: 3.6 meters, Time: 2.6 seconds
Name: Bad-Schachener-Straße, Instruction: Turn right onto Bad-Schachener-Straße, Distance: 89.5 meters, Time: 64.5 seconds
Name: Bad-Schachener-Straße, Instruction: Continue straight onto Bad-Schachener-Straße, Distance: 23.0 meters, Time: 16.5 seconds
Name: Echardinger Straße, Instruction: Turn left onto Echardinger Straße, Distance: 270.0 meters, Time: 194.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 664.6 meters, Time: 478.5 seconds
Name: Josephsburgstraße, Instruction: Keep left onto Josephsburgstraße, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: Baumkirchner Straße, Instruction: Turn left onto Baumkirchner Straße, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: Baumkirchner Straße, Instruction: Turn left onto Baumkirchner Straße, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 202.7 meters, Time: 145.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
