Name: Tram Valley Road, Instruction: Head northeast on Tram Valley Road, Distance: 16.9 meters, Time: 12.2 seconds
Name: Kātote Avenue, Instruction: Turn right onto Kātote Avenue, Distance: 315.7 meters, Time: 227.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Christian Road, Instruction: Turn right onto Christian Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: Mettam Drive, Instruction: Continue straight onto Mettam Drive, Distance: 563.2 meters, Time: 405.5 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
