Name: Hulme Place, Instruction: Head southeast on Hulme Place, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 170.5 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 671.0 meters, Time: 483.1 seconds
Name: -, Instruction: Turn right, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: Middle Yard, Instruction: Turn left onto Middle Yard, Distance: 29.7 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at Middle Yard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
