Name: Vaal Road, Instruction: Head southeast on Vaal Road, Distance: 169.5 meters, Time: 122.0 seconds
Name: Koeberg Service Road, Instruction: Turn left onto Koeberg Service Road, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Keep right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 247.3 meters, Time: 178.0 seconds
Name: School Street, Instruction: Turn right onto School Street, Distance: 289.4 meters, Time: 208.3 seconds
Name: School Street, Instruction: Continue straight onto School Street, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.7 seconds
Name: Atlas Drive, Instruction: Turn left onto Atlas Drive, Distance: 42.9 meters, Time: 30.9 seconds
Name: Atlas Drive, Instruction: Turn left onto Atlas Drive, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Arrive at Atlas Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
