Name: The Bay Run, Instruction: Head southwest on The Bay Run, Distance: 491.0 meters, Time: 353.5 seconds
Name: -, Instruction: Turn right, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: Heath Street, Instruction: Turn slight right onto Heath Street, Distance: 229.9 meters, Time: 165.5 seconds
Name: -, Instruction: Turn left, Distance: 308.3 meters, Time: 222.0 seconds
Name: -, Instruction: Turn right, Distance: 113.2 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn slight left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 188.5 meters, Time: 135.8 seconds
Name: Barnstaple Road, Instruction: Turn left onto Barnstaple Road, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Arrive at Barnstaple Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
