Name: Rue Fernand Combette, Instruction: Head southwest on Rue Fernand Combette, Distance: 152.3 meters, Time: 109.6 seconds
Name: Rue du Docteur Roger Brandon, Instruction: Turn left onto Rue du Docteur Roger Brandon, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.7 seconds
Name: Avenue Paul Signac, Instruction: Turn left onto Avenue Paul Signac, Distance: 411.6 meters, Time: 296.3 seconds
Name: Rue des Néfliers, Instruction: Turn right onto Rue des Néfliers, Distance: 171.7 meters, Time: 123.6 seconds
Name: Rue Rochebrune, Instruction: Turn left onto Rue Rochebrune, Distance: 118.3 meters, Time: 85.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Keep left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue Danton, Instruction: Turn left onto Rue Danton, Distance: 299.3 meters, Time: 215.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.4 meters, Time: 11.8 seconds
Name: Avenue Jean Moulin, Instruction: Turn right onto Avenue Jean Moulin, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
