Name: Buscomb Avenue, Instruction: Head southwest on Buscomb Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn right, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn right, Distance: 666.4 meters, Time: 479.8 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn slight right, Distance: 361.6 meters, Time: 260.3 seconds
Name: -, Instruction: Keep right, Distance: 201.6 meters, Time: 145.2 seconds
Name: -, Instruction: Turn slight right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
