Name: Avenue Samson, Instruction: Head southeast on Avenue Samson, Distance: 119.4 meters, Time: 86.0 seconds
Name: Avenue de Montmorency, Instruction: Turn right onto Avenue de Montmorency, Distance: 78.0 meters, Time: 56.2 seconds
Name: Avenue de la Croix, Instruction: Turn left onto Avenue de la Croix, Distance: 199.5 meters, Time: 143.6 seconds
Name: Chemin de la Croix, Instruction: Turn right onto Chemin de la Croix, Distance: 23.0 meters, Time: 16.5 seconds
Name: Avenue Principale, Instruction: Turn right onto Avenue Principale, Distance: 179.0 meters, Time: 128.9 seconds
Name: -, Instruction: Turn left, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Rue de Douai, Instruction: Keep left onto Rue de Douai, Distance: 14.3 meters, Time: 10.3 seconds
Name: Rue de Douai, Instruction: Keep left onto Rue de Douai, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 185.1 meters, Time: 133.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 170.9 meters, Time: 123.0 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue Lamartine, Instruction: Turn left onto Rue Lamartine, Distance: 124.3 meters, Time: 89.5 seconds
Name: Rue Lamartine, Instruction: Continue straight onto Rue Lamartine, Distance: 349.4 meters, Time: 251.6 seconds
Name: Rue Mayran, Instruction: Turn right onto Rue Mayran, Distance: 13.0 meters, Time: 9.4 seconds
Name: Rue La Fayette, Instruction: Turn left onto Rue La Fayette, Distance: 31.7 meters, Time: 22.8 seconds
Name: Rue La Fayette, Instruction: Turn right onto Rue La Fayette, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Papillon, Instruction: Turn slight left onto Rue Papillon, Distance: 125.4 meters, Time: 90.3 seconds
Name: Rue Bleue, Instruction: Turn slight left onto Rue Bleue, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
