Name: Isobel Road, Instruction: Head northwest on Isobel Road, Distance: 125.0 meters, Time: 90.0 seconds
Name: Olwyn Place, Instruction: Turn right onto Olwyn Place, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 246.1 meters, Time: 177.2 seconds
Name: Wainoni Heights, Instruction: Turn left onto Wainoni Heights, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Turn right, Distance: 220.9 meters, Time: 159.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 295.7 meters, Time: 212.9 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn slight right, Distance: 150.5 meters, Time: 108.4 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
