Name: Rue Jean-Pierre Timbaud, Instruction: Head west on Rue Jean-Pierre Timbaud, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 117.8 meters, Time: 84.8 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep left, Distance: 82.3 meters, Time: 59.3 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Keep right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Keep right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep right, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Keep left, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Keep right, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 42.1 meters, Time: 30.3 seconds
Name: Place Theodor Herzl, Instruction: Continue straight onto Place Theodor Herzl, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: Rue de Turbigo, Instruction: Turn left onto Rue de Turbigo, Distance: 11.7 meters, Time: 8.4 seconds
Name: Rue de Turbigo, Instruction: Continue straight onto Rue de Turbigo, Distance: 7.8 meters, Time: 5.6 seconds
Name: Rue de Turbigo, Instruction: Continue straight onto Rue de Turbigo, Distance: 30.9 meters, Time: 22.3 seconds
Name: Rue de Turbigo, Instruction: Keep right onto Rue de Turbigo, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Keep left, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 118.4 meters, Time: 85.3 seconds
Name: -, Instruction: Keep right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: Rue Saint-Denis, Instruction: Turn left onto Rue Saint-Denis, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Keep left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: Rue de Turbigo, Instruction: Turn left onto Rue de Turbigo, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Arrive at Rue de Turbigo, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
