Name: Kallang Sector, Instruction: Head northwest on Kallang Sector, Distance: 312.0 meters, Time: 224.6 seconds
Name: -, Instruction: Turn left, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: Lorong Bakar Batu, Instruction: Turn left onto Lorong Bakar Batu, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Turn right, Distance: 222.7 meters, Time: 160.3 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: Jalan Wangi, Instruction: Turn left onto Jalan Wangi, Distance: 4.0 meters, Time: 2.9 seconds
Name: MacPherson Road, Instruction: Turn right onto MacPherson Road, Distance: 62.5 meters, Time: 45.0 seconds
Name: Jalan Wangi, Instruction: Turn left onto Jalan Wangi, Distance: 56.0 meters, Time: 40.3 seconds
Name: Mulberry Avenue, Instruction: Turn right onto Mulberry Avenue, Distance: 28.4 meters, Time: 20.4 seconds
Name: Angsana Avenue, Instruction: Turn left onto Angsana Avenue, Distance: 234.5 meters, Time: 168.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
