Name: Rue de Villersexel, Instruction: Head southwest on Rue de Villersexel, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 212.3 meters, Time: 152.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue de Bellechasse, Instruction: Turn left onto Rue de Bellechasse, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 230.0 meters, Time: 165.6 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 130.2 meters, Time: 93.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue de Varenne, Instruction: Turn right onto Rue de Varenne, Distance: 19.8 meters, Time: 14.3 seconds
Name: Boulevard des Invalides, Instruction: Turn sharp left onto Boulevard des Invalides, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Arrive at Boulevard des Invalides, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
