Name: حارة العتبه, Instruction: Head east on حارة العتبه, Distance: 34.0 meters, Time: 24.5 seconds
Name: شارع المزرعه, Instruction: Turn right onto شارع المزرعه, Distance: 663.9 meters, Time: 478.0 seconds
Name: شارع الحداد, Instruction: Turn left onto شارع الحداد, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 226.3 meters, Time: 162.9 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 241.8 meters, Time: 174.1 seconds
Name: شارع الصاعقه, Instruction: Turn slight left onto شارع الصاعقه, Distance: 107.9 meters, Time: 77.7 seconds
Name: شارع الصاعقه, Instruction: Enter the roundabout and take the 1st exit onto شارع الصاعقه, Distance: 420.4 meters, Time: 302.7 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.9 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
