Name: Roseman Avenue, Instruction: Head southeast on Roseman Avenue, Distance: 544.4 meters, Time: 392.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 235.5 meters, Time: 169.6 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 242.3 meters, Time: 174.5 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 704.2 meters, Time: 507.0 seconds
Name: -, Instruction: Keep right, Distance: 184.6 meters, Time: 132.9 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
