Name: Rue François Villon, Instruction: Head southwest on Rue François Villon, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 161.1 meters, Time: 116.0 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Keep left, Distance: 192.5 meters, Time: 138.6 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue du Général Beuret, Instruction: Turn left onto Rue du Général Beuret, Distance: 6.9 meters, Time: 5.0 seconds
Name: Rue Blomet, Instruction: Turn right onto Rue Blomet, Distance: 547.4 meters, Time: 394.1 seconds
Name: -, Instruction: Turn right, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: Place Henri-Queuille, Instruction: Turn left onto Place Henri-Queuille, Distance: 4.0 meters, Time: 2.9 seconds
Name: Place Henri-Queuille, Instruction: Turn right onto Place Henri-Queuille, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight left, Distance: 148.8 meters, Time: 107.1 seconds
Name: Place de Breteuil, Instruction: Turn right onto Place de Breteuil, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Place de Breteuil, Instruction: Turn slight left onto Place de Breteuil, Distance: 2.2 meters, Time: 1.6 seconds
Name: Place de Breteuil, Instruction: Continue straight onto Place de Breteuil, Distance: 25.7 meters, Time: 18.5 seconds
Name: Avenue de Saxe, Instruction: Turn sharp left onto Avenue de Saxe, Distance: 3.0 meters, Time: 2.2 seconds
Name: Place de Breteuil, Instruction: Turn right onto Place de Breteuil, Distance: 46.7 meters, Time: 33.6 seconds
Name: Rue Duroc, Instruction: Turn right onto Rue Duroc, Distance: 4.6 meters, Time: 3.3 seconds
Name: Place de Breteuil, Instruction: Turn left onto Place de Breteuil, Distance: 6.0 meters, Time: 4.4 seconds
Name: Place de Breteuil, Instruction: Turn left onto Place de Breteuil, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn slight right, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Keep left, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 95.2 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue de Babylone, Instruction: Turn right onto Rue de Babylone, Distance: 68.2 meters, Time: 49.1 seconds
Name: Rue Barbet de Jouy, Instruction: Turn left onto Rue Barbet de Jouy, Distance: 165.7 meters, Time: 119.3 seconds
Name: -, Instruction: Arrive at Rue Barbet de Jouy, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
