Name: Bingfield Street, Instruction: Head west on Bingfield Street, Distance: 116.0 meters, Time: 83.5 seconds
Name: Bemerton Street, Instruction: Turn left onto Bemerton Street, Distance: 247.7 meters, Time: 178.3 seconds
Name: Copenhagen Street, B514, Instruction: Turn right onto Copenhagen Street, B514, Distance: 29.4 meters, Time: 21.1 seconds
Name: Treaty Street, Instruction: Turn left onto Treaty Street, Distance: 90.6 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: Tiber Gardens, Instruction: Turn left onto Tiber Gardens, Distance: 21.7 meters, Time: 15.6 seconds
Name: Tiber Gardens, Instruction: Turn right onto Tiber Gardens, Distance: 78.5 meters, Time: 56.6 seconds
Name: Tiber Gardens, Instruction: Turn left onto Tiber Gardens, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn slight right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 125.7 meters, Time: 90.5 seconds
Name: Crinan Street, Instruction: Turn left onto Crinan Street, Distance: 143.5 meters, Time: 103.3 seconds
Name: Wharfdale Road, A5203, Instruction: Turn left onto Wharfdale Road, A5203, Distance: 5.6 meters, Time: 4.0 seconds
Name: Trematon Walk, Instruction: Turn right onto Trematon Walk, Distance: 70.1 meters, Time: 50.5 seconds
Name: Railway Street, Instruction: Turn left onto Railway Street, Distance: 10.9 meters, Time: 7.9 seconds
Name: Albion Yard, Instruction: Turn right onto Albion Yard, Distance: 136.7 meters, Time: 98.4 seconds
Name: Caledonia Street, Instruction: Turn right onto Caledonia Street, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 108.6 meters, Time: 78.2 seconds
Name: Euston Road, Instruction: Turn right onto Euston Road, Distance: 105.0 meters, Time: 75.6 seconds
Name: Euston Road, Instruction: Turn slight left onto Euston Road, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 107.9 meters, Time: 77.7 seconds
Name: Euston Road, A501, Instruction: Turn right onto Euston Road, A501, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: Euston Road, Instruction: Turn right onto Euston Road, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Euston Road, Instruction: Turn right onto Euston Road, Distance: 140.3 meters, Time: 101.0 seconds
Name: Mabledon Place, Instruction: Turn left onto Mabledon Place, Distance: 47.3 meters, Time: 34.0 seconds
Name: Flaxman Terrace, Instruction: Turn right onto Flaxman Terrace, Distance: 146.5 meters, Time: 105.5 seconds
Name: Dukes Road, Instruction: Turn slight right onto Dukes Road, Distance: 23.9 meters, Time: 17.2 seconds
Name: Woburn Walk, Instruction: Turn left onto Woburn Walk, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 223.0 meters, Time: 160.5 seconds
Name: Gordon Street, Instruction: Turn right onto Gordon Street, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: Gordon Street, Instruction: Turn right onto Gordon Street, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: Gordon Square, Instruction: Turn right onto Gordon Square, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
