Name: Letterkenny Place, Instruction: Head south on Letterkenny Place, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 274.9 meters, Time: 198.0 seconds
Name: -, Instruction: Turn left, Distance: 310.6 meters, Time: 223.6 seconds
Name: -, Instruction: Keep right, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Keep right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 180.8 meters, Time: 130.2 seconds
Name: -, Instruction: Keep right, Distance: 158.8 meters, Time: 114.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 308.8 meters, Time: 222.3 seconds
Name: -, Instruction: Continue straight, Distance: 148.0 meters, Time: 106.6 seconds
Name: -, Instruction: Keep right, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
