Name: Rue Nollet, Instruction: Head southeast on Rue Nollet, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn right, Distance: 178.3 meters, Time: 128.4 seconds
Name: -, Instruction: Turn slight right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Rue Tarbé, Instruction: Turn left onto Rue Tarbé, Distance: 79.5 meters, Time: 57.3 seconds
Name: Rue Tarbé, Instruction: Continue straight onto Rue Tarbé, Distance: 215.1 meters, Time: 154.9 seconds
Name: Rue Legendre, Instruction: Turn right onto Rue Legendre, Distance: 23.2 meters, Time: 16.7 seconds
Name: Rue Claude Pouillet, Instruction: Turn left onto Rue Claude Pouillet, Distance: 138.5 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn slight left, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 432.6 meters, Time: 311.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
