Name: Dawes Road, Instruction: Head south on Dawes Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 177.7 meters, Time: 127.9 seconds
Name: -, Instruction: Keep right, Distance: 109.4 meters, Time: 78.7 seconds
Name: -, Instruction: Keep right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Keep right, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Keep left, Distance: 94.4 meters, Time: 68.0 seconds
Name: -, Instruction: Keep left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight left, Distance: 355.9 meters, Time: 256.3 seconds
Name: -, Instruction: Turn right, Distance: 67.4 meters, Time: 48.6 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
