Name: 20th Street Multi-Use Path, Instruction: Head northwest on 20th Street Multi-Use Path, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Continue straight, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep left, Distance: 116.6 meters, Time: 84.0 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Wynkoop Street, Instruction: Turn left onto Wynkoop Street, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 291.9 meters, Time: 210.1 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Keep left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
