Name: Perimeade Road, Instruction: Head west on Perimeade Road, Distance: 194.8 meters, Time: 140.2 seconds
Name: Federal Road, Instruction: Turn right onto Federal Road, Distance: 151.7 meters, Time: 109.2 seconds
Name: Fraser Road, Instruction: Turn left onto Fraser Road, Distance: 404.3 meters, Time: 291.1 seconds
Name: Aintree Road, Instruction: Turn right onto Aintree Road, Distance: 81.8 meters, Time: 58.9 seconds
Name: Bilton Road, Instruction: Turn left onto Bilton Road, Distance: 676.6 meters, Time: 487.2 seconds
Name: Horsenden Lane South, Instruction: Turn right onto Horsenden Lane South, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: Horsenden Lane South, Instruction: Turn left onto Horsenden Lane South, Distance: 88.7 meters, Time: 63.9 seconds
Name: Horsenden Lane North, Instruction: Turn slight right onto Horsenden Lane North, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Keep left, Distance: 122.0 meters, Time: 87.8 seconds
Name: -, Instruction: Keep right, Distance: 183.2 meters, Time: 131.9 seconds
Name: -, Instruction: Turn slight left, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn left, Distance: 94.9 meters, Time: 68.4 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
