Name: Antiguo Camino a San Pedro Mártir, Instruction: Head southwest on Antiguo Camino a San Pedro Mártir, Distance: 24.2 meters, Time: 17.4 seconds
Name: Camino Antiguo a San Pedro, Instruction: Turn right onto Camino Antiguo a San Pedro, Distance: 95.4 meters, Time: 68.7 seconds
Name: Viaducto Tlalpan, Instruction: Turn sharp right onto Viaducto Tlalpan, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.8 seconds
Name: Viaducto Tlalpan, Instruction: Turn sharp right onto Viaducto Tlalpan, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn slight right, Distance: 36.2 meters, Time: 26.0 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn slight right onto Avenida Insurgentes Sur, Distance: 263.4 meters, Time: 189.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: Mariano Matamoros, Instruction: Turn sharp left onto Mariano Matamoros, Distance: 1017.0 meters, Time: 732.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
