Name: Calle Marmolería, Instruction: Head south on Calle Marmolería, Distance: 123.3 meters, Time: 88.8 seconds
Name: Calle Choferes, Instruction: Turn left onto Calle Choferes, Distance: 47.7 meters, Time: 34.4 seconds
Name: Calle Litografía, Instruction: Turn right onto Calle Litografía, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Keep left, Distance: 43.8 meters, Time: 31.6 seconds
Name: -, Instruction: Keep right, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 51.0 meters, Time: 36.7 seconds
Name: Avenida de los Oficios, Instruction: Turn left onto Avenida de los Oficios, Distance: 3.2 meters, Time: 2.3 seconds
Name: Calle Horticultura, Instruction: Turn right onto Calle Horticultura, Distance: 244.8 meters, Time: 176.3 seconds
Name: Calle Laminadores, Instruction: Turn left onto Calle Laminadores, Distance: 47.3 meters, Time: 34.1 seconds
Name: Calle Grabados, Instruction: Turn right onto Calle Grabados, Distance: 522.3 meters, Time: 376.1 seconds
Name: Calle Ánfora, Instruction: Keep right onto Calle Ánfora, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 33.0 seconds
Name: Calle Ánfora, Instruction: Turn right onto Calle Ánfora, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 157.0 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: Calle Ánfora, Instruction: Turn right onto Calle Ánfora, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at Calle Ánfora, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
