Name: Rue de Clignancourt, Instruction: Head south on Rue de Clignancourt, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 231.2 meters, Time: 166.5 seconds
Name: -, Instruction: Turn right, Distance: 194.5 meters, Time: 140.0 seconds
Name: Rue Saint-Vincent de Paul, Instruction: Turn right onto Rue Saint-Vincent de Paul, Distance: 17.0 meters, Time: 12.3 seconds
Name: Rue Saint-Vincent de Paul, Instruction: Turn slight left onto Rue Saint-Vincent de Paul, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Saint-Vincent de Paul, Instruction: Keep right onto Rue Saint-Vincent de Paul, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Keep left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn slight left, Distance: 367.4 meters, Time: 264.5 seconds
Name: -, Instruction: Turn left, Distance: 212.8 meters, Time: 153.2 seconds
Name: Rue du Faubourg Saint-Denis, Instruction: Turn right onto Rue du Faubourg Saint-Denis, Distance: 698.3 meters, Time: 502.7 seconds
Name: Porte Saint-Denis, Instruction: Turn right onto Porte Saint-Denis, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: Boulevard de Bonne Nouvelle, Instruction: Turn left onto Boulevard de Bonne Nouvelle, Distance: 14.1 meters, Time: 10.1 seconds
Name: Rue Saint-Denis, Instruction: Turn right onto Rue Saint-Denis, Distance: 212.9 meters, Time: 153.3 seconds
Name: Passage du Ponceau, Instruction: Turn left onto Passage du Ponceau, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
