Name: شارع الشهيدة فريدة داوود, Instruction: Head south on شارع الشهيدة فريدة داوود, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Keep left, Distance: 36.7 meters, Time: 26.4 seconds
Name: شارع احمد صالح, Instruction: Turn slight left onto شارع احمد صالح, Distance: 195.1 meters, Time: 140.5 seconds
Name: -, Instruction: Keep left, Distance: 99.2 meters, Time: 71.4 seconds
Name: شارع عفيفي, Instruction: Turn right onto شارع عفيفي, Distance: 173.7 meters, Time: 125.0 seconds
Name: -, Instruction: Keep right, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.7 meters, Time: 24.3 seconds
Name: شارع أحمد طلال, Instruction: Turn slight right onto شارع أحمد طلال, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 91.9 meters, Time: 66.2 seconds
Name: شارع عفيفي, Instruction: Turn slight right onto شارع عفيفي, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
