Name: Tennyson Road, Instruction: Head east on Tennyson Road, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 198.6 meters, Time: 143.0 seconds
Name: -, Instruction: Turn right, Distance: 113.4 meters, Time: 81.6 seconds
Name: Lamson Place, Instruction: Turn left onto Lamson Place, Distance: 8.7 meters, Time: 6.3 seconds
Name: Shellcote Road, Instruction: Turn right onto Shellcote Road, Distance: 80.8 meters, Time: 58.2 seconds
Name: Lockwood Avenue, Instruction: Turn left onto Lockwood Avenue, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 193.2 meters, Time: 139.1 seconds
Name: -, Instruction: Turn left, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
