Name: Ellerbeck Street, Instruction: Head north on Ellerbeck Street, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 283.6 meters, Time: 204.2 seconds
Name: -, Instruction: Keep left, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Keep left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Keep left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Keep left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
