Name: شارع 15, Instruction: Head east on شارع 15, Distance: 60.7 meters, Time: 43.7 seconds
Name: شارع محمد الرفاعي, Instruction: Turn left onto شارع محمد الرفاعي, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: شارع محمد فخري, Instruction: Turn right onto شارع محمد فخري, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 192.9 meters, Time: 138.9 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: شارع محمود حنفي, Instruction: Turn left onto شارع محمود حنفي, Distance: 236.0 meters, Time: 169.9 seconds
Name: شارع مساكن المقطم, Instruction: Turn right onto شارع مساكن المقطم, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 152.7 meters, Time: 110.0 seconds
Name: محور ياسر رزق, Instruction: Turn slight right onto محور ياسر رزق, Distance: 273.6 meters, Time: 197.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 300.7 meters, Time: 216.5 seconds
Name: شارع صبحي حسين, Instruction: Enter the roundabout and take the 4th exit onto شارع صبحي حسين, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Arrive at شارع صبحي حسين, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
