Name: Farrow Lane, Instruction: Head southeast on Farrow Lane, Distance: 66.7 meters, Time: 48.0 seconds
Name: Zuttion Lane, Instruction: Turn left onto Zuttion Lane, Distance: 38.2 meters, Time: 27.5 seconds
Name: Union Street, Instruction: Turn right onto Union Street, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 383.0 meters, Time: 275.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Continue straight, Distance: 170.2 meters, Time: 122.5 seconds
Name: -, Instruction: Keep left, Distance: 36.1 meters, Time: 26.0 seconds
Name: Stewart Lane, Instruction: Turn right onto Stewart Lane, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 138.3 meters, Time: 99.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
