Name: Rue du Docteur Lamaze, Instruction: Head south on Rue du Docteur Lamaze, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 106.6 meters, Time: 76.8 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Allées Jacques Brel, Instruction: Turn right onto Allées Jacques Brel, Distance: 257.6 meters, Time: 185.5 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 173.4 meters, Time: 124.8 seconds
Name: -, Instruction: Keep left, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Keep left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Keep left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight right, Distance: 314.4 meters, Time: 226.4 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: Place du Colonel Fabien, Instruction: Turn left onto Place du Colonel Fabien, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn left, Distance: 207.4 meters, Time: 149.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
