Name: Place Denfert-Rochereau, Instruction: Head northwest on Place Denfert-Rochereau, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 43.8 meters, Time: 31.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 690.2 meters, Time: 496.9 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
