Name: Dingle Road, Instruction: Head west on Dingle Road, Distance: 66.5 meters, Time: 47.9 seconds
Name: Church Road, Instruction: Turn left onto Church Road, Distance: 277.8 meters, Time: 200.0 seconds
Name: Station Road, Instruction: Turn left onto Station Road, Distance: 74.6 meters, Time: 53.7 seconds
Name: McDonald Street, Instruction: Turn right onto McDonald Street, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 251.8 meters, Time: 181.3 seconds
Name: Sakabula Circle, Instruction: Turn right onto Sakabula Circle, Distance: 46.5 meters, Time: 33.5 seconds
Name: Paul Kruger Avenue, Instruction: Turn left onto Paul Kruger Avenue, Distance: 524.7 meters, Time: 377.7 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Keep right, Distance: 80.1 meters, Time: 57.7 seconds
Name: Livingstone Avenue, Instruction: Continue straight onto Livingstone Avenue, Distance: 501.6 meters, Time: 361.1 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn slight right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn slight right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Keep left, Distance: 59.2 meters, Time: 42.6 seconds
Name: Thor Street, Instruction: Turn slight right onto Thor Street, Distance: 14.3 meters, Time: 10.3 seconds
Name: Avonwood Road, Instruction: Turn left onto Avonwood Road, Distance: 200.9 meters, Time: 144.6 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: Halt Road, M76, Instruction: Turn left onto Halt Road, M76, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: 15th Avenue, Instruction: Turn right onto 15th Avenue, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Arrive at 15th Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
