Name: Heidenreichstraße, Instruction: Head east on Heidenreichstraße, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Continue straight, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 61.2 meters, Time: 44.0 seconds
Name: Strehleranger, Instruction: Turn right onto Strehleranger, Distance: 123.8 meters, Time: 89.1 seconds
Name: -, Instruction: Continue straight, Distance: 137.8 meters, Time: 99.2 seconds
Name: -, Instruction: Turn left, Distance: 283.7 meters, Time: 204.3 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 760.2 meters, Time: 547.3 seconds
Name: -, Instruction: Turn slight right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 329.6 meters, Time: 237.3 seconds
Name: -, Instruction: Keep left, Distance: 206.6 meters, Time: 148.8 seconds
Name: Zehntfeldstraße, Instruction: Turn right onto Zehntfeldstraße, Distance: 220.3 meters, Time: 158.6 seconds
Name: -, Instruction: Arrive at Zehntfeldstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
