Name: Stapleton Street, Instruction: Head east on Stapleton Street, Distance: 432.2 meters, Time: 311.2 seconds
Name: Emert Street, Instruction: Turn right onto Emert Street, Distance: 102.4 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 140.9 meters, Time: 101.4 seconds
Name: -, Instruction: Turn left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.5 meters, Time: 11.2 seconds
Name: Wentworth Avenue, Instruction: Turn slight left onto Wentworth Avenue, Distance: 27.4 meters, Time: 19.7 seconds
Name: Bourne Street, Instruction: Turn right onto Bourne Street, Distance: 148.4 meters, Time: 106.9 seconds
Name: -, Instruction: Turn slight left, Distance: 96.4 meters, Time: 69.4 seconds
Name: Strickland Place, Instruction: Turn left onto Strickland Place, Distance: 150.5 meters, Time: 108.4 seconds
Name: Darcy Road, Instruction: Turn sharp right onto Darcy Road, Distance: 35.8 meters, Time: 25.8 seconds
Name: Lower Mount Street, Instruction: Turn sharp left onto Lower Mount Street, Distance: 664.3 meters, Time: 478.3 seconds
Name: -, Instruction: Turn right, Distance: 126.2 meters, Time: 90.8 seconds
Name: Mahony Road, Instruction: Turn left onto Mahony Road, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Turn left, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
