Name: Rue Liancourt, Instruction: Head northwest on Rue Liancourt, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Keep right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn slight left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Keep right, Distance: 57.2 meters, Time: 41.2 seconds
Name: Rue de Perceval, Instruction: Turn right onto Rue de Perceval, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
