Name: Beresford Avenue, Instruction: Head north on Beresford Avenue, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Keep left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight left, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Keep left, Distance: 488.5 meters, Time: 351.7 seconds
Name: -, Instruction: Keep left, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Keep left, Distance: 424.5 meters, Time: 305.6 seconds
Name: -, Instruction: Turn left, Distance: 102.9 meters, Time: 74.1 seconds
Name: Medland Street, Instruction: Turn right onto Medland Street, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 107.0 meters, Time: 77.0 seconds
Name: Mavety Street, Instruction: Turn right onto Mavety Street, Distance: 139.1 meters, Time: 100.2 seconds
Name: Annette Street, Instruction: Turn left onto Annette Street, Distance: 14.4 meters, Time: 10.3 seconds
Name: Mavety Street, Instruction: Turn right onto Mavety Street, Distance: 356.5 meters, Time: 256.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
