Name: Teck Lim Road, Instruction: Head southeast on Teck Lim Road, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.5 seconds
Name: Keong Saik Road, Instruction: Turn left onto Keong Saik Road, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn slight right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Neil Road, Instruction: Turn right onto Neil Road, Distance: 378.5 meters, Time: 272.5 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn slight right, Distance: 23.4 meters, Time: 16.8 seconds
Name: Kampong Bahru Road, Instruction: Turn sharp right onto Kampong Bahru Road, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at Kampong Bahru Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
