Name: Rue de la Glacière, Instruction: Head south on Rue de la Glacière, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 270.7 meters, Time: 194.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 190.1 meters, Time: 136.9 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Keep right, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
