Name: Florence Street, Instruction: Head west on Florence Street, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 416.7 meters, Time: 300.0 seconds
Name: -, Instruction: Turn left, Distance: 316.4 meters, Time: 227.8 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 219.3 meters, Time: 157.9 seconds
Name: -, Instruction: Keep left, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Keep left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 527.4 meters, Time: 379.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 397.6 meters, Time: 286.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
