Name: Kings Road, Instruction: Head south on Kings Road, Distance: 320.6 meters, Time: 230.8 seconds
Name: River Street, Instruction: Turn right onto River Street, Distance: 44.2 meters, Time: 31.8 seconds
Name: Amsterdam Street, Instruction: Turn left onto Amsterdam Street, Distance: 303.5 meters, Time: 218.5 seconds
Name: -, Instruction: Turn left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Keep right, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 102.0 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 261.1 meters, Time: 188.0 seconds
Name: Puma Street, Instruction: Turn right onto Puma Street, Distance: 11.9 meters, Time: 8.6 seconds
Name: Section Street, Instruction: Turn left onto Section Street, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Arrive at Section Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
