Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 301.6 meters, Time: 217.1 seconds
Name: -, Instruction: Keep left, Distance: 280.1 meters, Time: 201.6 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 482.3 meters, Time: 347.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.0 meters, Time: 5.7 seconds
Name: South Lynn Road, Instruction: Turn left onto South Lynn Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: Golf Road, Instruction: Turn right onto Golf Road, Distance: 73.3 meters, Time: 52.7 seconds
Name: Hilling Street, Instruction: Turn left onto Hilling Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 248.0 meters, Time: 178.6 seconds
Name: -, Instruction: Turn right, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Ragley Street, Instruction: Turn right onto Ragley Street, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Arrive at Ragley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
