Name: Chapel Road, Instruction: Head west on Chapel Road, Distance: 64.6 meters, Time: 46.5 seconds
Name: Cecil Road, Instruction: Turn left onto Cecil Road, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Keep left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Keep left, Distance: 51.3 meters, Time: 37.0 seconds
Name: -, Instruction: Keep right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 140.0 meters, Time: 100.8 seconds
Name: -, Instruction: Turn right, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Keep left, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Keep right, Distance: 130.3 meters, Time: 93.8 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn slight left, Distance: 23.1 meters, Time: 16.7 seconds
Name: Residence Road, Instruction: Turn sharp left onto Residence Road, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Arrive at Residence Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
