Name: Delwood Drive, Instruction: Head east on Delwood Drive, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 278.8 meters, Time: 200.8 seconds
Name: Valdane Drive, Instruction: Turn right onto Valdane Drive, Distance: 201.9 meters, Time: 145.4 seconds
Name: Harris Park Drive, Instruction: Turn left onto Harris Park Drive, Distance: 96.5 meters, Time: 69.5 seconds
Name: Holswade Road, Instruction: Turn right onto Holswade Road, Distance: 193.2 meters, Time: 139.1 seconds
Name: -, Instruction: Turn right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 804.4 meters, Time: 579.2 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
