Name: Maughan Crescent, Instruction: Head northeast on Maughan Crescent, Distance: 5.3 meters, Time: 3.8 seconds
Name: Edgewood Avenue, Instruction: Turn right onto Edgewood Avenue, Distance: 75.5 meters, Time: 54.3 seconds
Name: -, Instruction: Turn left, Distance: 86.3 meters, Time: 62.2 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 190.8 meters, Time: 137.4 seconds
Name: Brookmount Road, Instruction: Turn right onto Brookmount Road, Distance: 4.8 meters, Time: 3.5 seconds
Name: Dixon Avenue, Instruction: Turn left onto Dixon Avenue, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn right, Distance: 149.6 meters, Time: 107.7 seconds
Name: Inuksuk Lane, Instruction: Turn left onto Inuksuk Lane, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 596.1 meters, Time: 429.2 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 143.7 meters, Time: 103.5 seconds
Name: -, Instruction: Turn slight right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight right, Distance: 428.6 meters, Time: 308.6 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn slight left, Distance: 160.2 meters, Time: 115.4 seconds
Name: Balsam Avenue, Instruction: Turn left onto Balsam Avenue, Distance: 42.7 meters, Time: 30.7 seconds
Name: Sarah McComb Lane, Instruction: Turn right onto Sarah McComb Lane, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: Spruce Hill Road, Instruction: Turn left onto Spruce Hill Road, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
