Name: Sandringham Drive, Instruction: Head southwest on Sandringham Drive, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.1 seconds
Name: -, Instruction: Turn slight right, Distance: 115.8 meters, Time: 83.4 seconds
Name: Elizabeth Drive cycle path, Instruction: Turn slight right onto Elizabeth Drive cycle path, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Keep right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Keep right, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
