Name: Argyle Street, Instruction: Head west on Argyle Street, Distance: 687.3 meters, Time: 494.9 seconds
Name: Gladstone Avenue, Instruction: Turn left onto Gladstone Avenue, Distance: 123.8 meters, Time: 89.1 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn right, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Milky Way, Instruction: Turn right onto Milky Way, Distance: 4.4 meters, Time: 3.2 seconds
Name: Gwynne Avenue, Instruction: Turn left onto Gwynne Avenue, Distance: 133.5 meters, Time: 96.1 seconds
Name: -, Instruction: Arrive at Gwynne Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
