Name: Plains Road, Instruction: Head west on Plains Road, Distance: 73.3 meters, Time: 52.8 seconds
Name: Cadorna Avenue, Instruction: Turn left onto Cadorna Avenue, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Lesmount Avenue, Instruction: Turn left onto Lesmount Avenue, Distance: 213.8 meters, Time: 154.0 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Keep right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 219.8 meters, Time: 158.3 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Turn right, Distance: 112.1 meters, Time: 80.7 seconds
Name: Dewhurst Boulevard North, Instruction: Turn left onto Dewhurst Boulevard North, Distance: 174.9 meters, Time: 125.9 seconds
Name: Sammon Avenue, Instruction: Turn right onto Sammon Avenue, Distance: 190.8 meters, Time: 137.4 seconds
Name: -, Instruction: Turn left, Distance: 102.0 meters, Time: 73.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
