Name: Bridge Street, Instruction: Head southeast on Bridge Street, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 298.2 meters, Time: 214.7 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Keep left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Keep right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 532.6 meters, Time: 383.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 199.8 meters, Time: 143.8 seconds
Name: Macarthur Street, Instruction: Turn sharp right onto Macarthur Street, Distance: 270.7 meters, Time: 194.9 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: Buller Street, Instruction: Turn right onto Buller Street, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
