Name: Rue des Boulangers, Instruction: Head southwest on Rue des Boulangers, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn slight left, Distance: 173.0 meters, Time: 124.5 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 224.0 meters, Time: 161.3 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: Rue Jeanne d'Arc, Instruction: Turn left onto Rue Jeanne d'Arc, Distance: 248.9 meters, Time: 179.2 seconds
Name: Rue Jenner, Instruction: Keep left onto Rue Jenner, Distance: 485.8 meters, Time: 349.8 seconds
Name: -, Instruction: Turn left, Distance: 183.2 meters, Time: 131.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
