Name: Knight Street, Instruction: Head west on Knight Street, Distance: 100.7 meters, Time: 72.5 seconds
Name: Union Street, Instruction: Turn slight left onto Union Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Keep right, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 161.3 meters, Time: 116.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 110.8 meters, Time: 79.7 seconds
Name: Camden Street, Instruction: Turn left onto Camden Street, Distance: 42.1 meters, Time: 30.3 seconds
Name: Camden Lane, Instruction: Turn right onto Camden Lane, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: Station Street, Instruction: Turn right onto Station Street, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn slight right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Station Street, Instruction: Turn slight left onto Station Street, Distance: 280.0 meters, Time: 201.6 seconds
Name: Gladstone Street, Instruction: Turn left onto Gladstone Street, Distance: 223.7 meters, Time: 161.1 seconds
Name: -, Instruction: Arrive at Gladstone Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
